League,TeamName,TeamCity,TeamState,StadiumCapacity,HomeGames,TeamSalary,TeamPlayers
NBA,Boston Celtics,Boston,Massachusetts,19156,41,"$187,419,467",14
NBA,Brooklyn Nets,New York City,New York,17732,41,"$160,661,355",14
NBA,New York Knicks,New York City,New York,19812,41,"$162,837,080",13
NBA,Philadelphia 76ers,Philadelphia,Pennsylvania,20478,41,"$180,569,040",13
NBA,Toronto Raptors,Toronto,Ontario,19800,41,"$161,108,036",15
NBA,Chicago Bulls,Chicago,Illinois,20917,41,"$165,605,211",14
NBA,Cleveland Cavaliers,Cleveland,Ohio,19432,41,"$169,853,588",15
NBA,Detroit Pistons,Detroit,Michigan,20332,41,"$134,943,836",15
NBA,Indiana Pacers,Indianapolis,Indiana,17923,41,"$145,329,278",14
NBA,Milwaukee Bucks,Milwaukee,Wisconsin,17341,41,"$187,624,080",14
NBA,Atlanta Hawks,Atlanta,Georgia,16600,41,"$155,605,853",15
NBA,Charlotte Hornets,Charlotte,North Carolina,19077,41,"$143,513,430",14
NBA,Miami Heat,Miami,Florida,19600,41,"$179,629,022",14
NBA,Orlando Magic,Orlando,Florida,18846,41,"$139,355,784",15
NBA,Washington Wizards,Washington,D.C.,20356,41,"$185,093,991",13
NBA,Denver Nuggets,Denver,Colorado,19520,41,"$185,751,085",15
NBA,Minnesota Timberwolves,Minneapolis,Minnesota,18798,41,"$197,701,290",13
NBA,Oklahoma City Thunder,Oklahoma City,Oklahoma,18203,41,"$159,991,975",15
NBA,Portland Trail Blazers,Portland,Oregon,19393,41,"$169,960,855",16
NBA,Utah Jazz,Salt Lake City,Utah,18306,41,"$130,493,068",14
NBA,Golden State Warriors,San Francisco,California,18064,41,"$224,383,762",13
NBA,Los Angeles Clippers,Los Angeles,California,19079,41,"$202,068,913",15
NBA,Los Angeles Lakers,Los Angeles,California,19079,41,"$182,033,999",15
NBA,Phoenix Suns,Phoenix,Arizona,16645,41,"$196,232,302",13
NBA,Sacramento Kings,Sacramento,California,17608,41,"$149,993,550",15
NBA,Dallas Mavericks,Dallas,Texas,19200,41,"$173,321,021",14
NBA,Houston Rockets,Houston,Texas,18055,41,"$146,402,009",15
NBA,Memphis Grizzlies,Memphis,Tennessee,18119,41,"$162,194,879",17
NBA,New Orleans Pelicans,New Orleans,Louisiana,16867,41,"$176,932,765",14
NBA,San Antonio Spurs,San Antonio,Texas,18418,41,"$142,472,668",15
